max_depth,min_samples_split,min_samples_leaf,criterion,fold,precision,recall,f1,confusion_matrix
1,2,1,gini,1,0.9552845528455285,0.9832635983263598,0.9690721649484536,"[[456  22   0   0   0   0   0   0   0   0]
 [  8 470   0   0   0   0   0   0   0   0]
 [ 86 392   0   0   0   0   0   0   0   0]
 [390  89   0   0   0   0   0   0   0   0]
 [ 36 442   0   0   0   0   0   0   0   0]
 [433  46   0   0   0   0   0   0   0   0]
 [461  17   0   0   0   0   0   0   0   0]
 [ 38 441   0   0   0   0   0   0   0   0]
 [446  33   0   0   0   0   0   0   0   0]
 [109 369   0   0   0   0   0   0   0   0]]"
1,2,1,gini,2,0.9534412955465587,0.9832985386221295,0.9681397738951696,"[[455  23   0   0   0   0   0   0   0   0]
 [  8 471   0   0   0   0   0   0   0   0]
 [ 62 417   0   0   0   0   0   0   0   0]
 [390  89   0   0   0   0   0   0   0   0]
 [ 52 426   0   0   0   0   0   0   0   0]
 [441  37   0   0   0   0   0   0   0   0]
 [460  18   0   0   0   0   0   0   0   0]
 [ 42 436   0   0   0   0   0   0   0   0]
 [439  40   0   0   0   0   0   0   0   0]
 [103 375   0   0   0   0   0   0   0   0]]"
1,2,1,gini,3,0.9708333333333333,1.0,0.985200845665962,"[[  0  14   0   0   0   0 464   0   0   0]
 [  0 466   0   0   0   0  13   0   0   0]
 [  0 411   0   0   0   0  68   0   0   0]
 [  0  92   0   0   0   0 386   0   0   0]
 [  0 433   0   0   0   0  46   0   0   0]
 [  0  44   0   0   0   0 434   0   0   0]
 [  0  20   0   0   0   0 459   0   0   0]
 [  0 443   0   0   0   0  35   0   0   0]
 [  0  33   0   0   0   0 445   0   0   0]
 [  0 375   0   0   0   0 103   0   0   0]]"
1,2,1,gini,4,0.9554655870445344,0.9874476987447699,0.9711934156378601,"[[457  22   0   0   0   0   0   0   0   0]
 [  6 472   0   0   0   0   0   0   0   0]
 [ 70 408   0   0   0   0   0   0   0   0]
 [393  85   0   0   0   0   0   0   0   0]
 [ 46 433   0   0   0   0   0   0   0   0]
 [434  44   0   0   0   0   0   0   0   0]
 [455  24   0   0   0   0   0   0   0   0]
 [ 30 448   0   0   0   0   0   0   0   0]
 [441  37   0   0   0   0   0   0   0   0]
 [138 341   0   0   0   0   0   0   0   0]]"
1,2,1,gini,5,0.9610655737704918,1.0,0.9801462904911181,"[[  0  19   0   0   0   0 460   0   0   0]
 [  0 469   0   0   0   0   9   0   0   0]
 [  0 395   0   0   0   0  83   0   0   0]
 [  0  87   0   0   0   0 391   0   0   0]
 [  0 422   0   0   0   0  56   0   0   0]
 [  0  45   0   0   0   0 434   0   0   0]
 [  0  21   0   0   0   0 457   0   0   0]
 [  0 446   0   0   0   0  33   0   0   0]
 [  0  27   0   0   0   0 451   0   0   0]
 [  0 376   0   0   0   0 103   0   0   0]]"
1,2,1,entropy,1,0.9552845528455285,0.9832635983263598,0.9690721649484536,"[[456  22   0   0   0   0   0   0   0   0]
 [  8 470   0   0   0   0   0   0   0   0]
 [ 86 392   0   0   0   0   0   0   0   0]
 [390  89   0   0   0   0   0   0   0   0]
 [ 36 442   0   0   0   0   0   0   0   0]
 [433  46   0   0   0   0   0   0   0   0]
 [461  17   0   0   0   0   0   0   0   0]
 [ 38 441   0   0   0   0   0   0   0   0]
 [446  33   0   0   0   0   0   0   0   0]
 [109 369   0   0   0   0   0   0   0   0]]"
1,2,1,entropy,2,0.9534412955465587,0.9832985386221295,0.9681397738951696,"[[455  23   0   0   0   0   0   0   0   0]
 [  8 471   0   0   0   0   0   0   0   0]
 [ 62 417   0   0   0   0   0   0   0   0]
 [390  89   0   0   0   0   0   0   0   0]
 [ 52 426   0   0   0   0   0   0   0   0]
 [441  37   0   0   0   0   0   0   0   0]
 [460  18   0   0   0   0   0   0   0   0]
 [ 42 436   0   0   0   0   0   0   0   0]
 [439  40   0   0   0   0   0   0   0   0]
 [103 375   0   0   0   0   0   0   0   0]]"
1,2,1,entropy,3,0.9708333333333333,1.0,0.985200845665962,"[[  0  14   0   0   0   0 464   0   0   0]
 [  0 466   0   0   0   0  13   0   0   0]
 [  0 411   0   0   0   0  68   0   0   0]
 [  0  92   0   0   0   0 386   0   0   0]
 [  0 433   0   0   0   0  46   0   0   0]
 [  0  44   0   0   0   0 434   0   0   0]
 [  0  20   0   0   0   0 459   0   0   0]
 [  0 443   0   0   0   0  35   0   0   0]
 [  0  33   0   0   0   0 445   0   0   0]
 [  0 375   0   0   0   0 103   0   0   0]]"
1,2,1,entropy,4,0.959349593495935,1.0,0.979253112033195,"[[  0  20   0   0   0   0 459   0   0   0]
 [  0 472   0   0   0   0   6   0   0   0]
 [  0 408   0   0   0   0  70   0   0   0]
 [  0  84   0   0   0   0 394   0   0   0]
 [  0 433   0   0   0   0  46   0   0   0]
 [  0  43   0   0   0   0 435   0   0   0]
 [  0  20   0   0   0   0 459   0   0   0]
 [  0 448   0   0   0   0  30   0   0   0]
 [  0  35   0   0   0   0 443   0   0   0]
 [  0 339   0   0   0   0 140   0   0   0]]"
1,2,1,entropy,5,0.9610655737704918,1.0,0.9801462904911181,"[[  0  19   0   0   0   0 460   0   0   0]
 [  0 469   0   0   0   0   9   0   0   0]
 [  0 395   0   0   0   0  83   0   0   0]
 [  0  87   0   0   0   0 391   0   0   0]
 [  0 422   0   0   0   0  56   0   0   0]
 [  0  45   0   0   0   0 434   0   0   0]
 [  0  21   0   0   0   0 457   0   0   0]
 [  0 446   0   0   0   0  33   0   0   0]
 [  0  27   0   0   0   0 451   0   0   0]
 [  0 376   0   0   0   0 103   0   0   0]]"
